CORE;ELEMENTS
;https://store.steampowered.com/app/947950
;ms-windows-store://pdp/?productid=9P56K3DDWL3R
ACT_LOYALTY_PATCH;ACT_DLC_ELEMENTS_REDBLUE
LOYALTY_PATCH_00;PUZZLE_DLC_ARCHONS_1
LOYALTY_PATCH_01;PUZZLE_DLC_GEMSHELL_HAMMER
LOYALTY_PATCH_02;PUZZLE_DLC_GRAPPLING_MONK
LOYALTY_PATCH_03;PUZZLE_DLC_COMMANDER
ACT_PUZZLE_TUTORIAL;PUZZLE_DLC_ARCHONS_2
PUZZLE_05;ACT_DLC_ELEMENTS_LEGENDS
PUZZLE_06;PUZZLE_DLC_DAY_OF_THE_DRAGON
PUZZLE_07;PUZZLE_DLC_WHALES
PUZZLE_01;PUZZLE_DLC_ISTANU
PUZZLE_04;PUZZLE_DLC_KAIOS_MOVEMENT
PUZZLE_03;PUZZLE_DLC_KAIOS
PUZZLE_08;ACT_DLC_ELEMENTS_PAIRS
PUZZLE_09;PUZZLE_DLC_EXPLORER
PUZZLE_10;PUZZLE_DLC_PAIR_TOSSERS
ACT_JALMYR_01;PUZZLE_DLC_ENCHANTMENT
PUZZLE_11;PUZZLE_DLC_FAIRIES_1
PUZZLE_12;PUZZLE_DLC_BARRACKS
PUZZLE_13;ACT_DLC_ELEMENTS_TRIBES
PUZZLE_14;PUZZLE_DLC_YAK_NEUTRAL
PUZZLE_15;PUZZLE_DLC_GEM_YAKS
PUZZLE_16;PUZZLE_DLC_YAK_SHEPHERD
PUZZLE_17;PUZZLE_DLC_RAKOANS_1
PUZZLE_18;PUZZLE_DLC_RAKOANS_3
PUZZLE_19;ACT_DLC_ELEMENTS_MOBILITY
PUZZLE_20;PUZZLE_DLC_YRUSH_1
ACT_JALMYR_02;PUZZLE_DLC_YRUSH_2
PUZZLE_21;PUZZLE_DLC_MONSTROSITY_FAILED
PUZZLE_22;PUZZLE_DLC_MAZE
PUZZLE_23;PUZZLE_DLC_MISTRAL_SALAMANDER
PUZZLE_24;ACT_DLC_ELEMENTS_VICTORY_THROUGH_SACRIFICE
PUZZLE_25;PUZZLE_DLC_FAILED_BALLOONFISH
PUZZLE_46;PUZZLE_DLC_BARRENSKY_VULTURE
PUZZLE_54;PUZZLE_DLC_BONE_COLLECTOR
PUZZLE_26;PUZZLE_DLC_MONSTROSITY_DRAGON
PUZZLE_27;PUZZLE_DLC_BAERU
PUZZLE_28;ACT_DLC_ELEMENTS_BOARD_CLEAR
ACT_JALMYR_03;PUZZLE_DLC_KILL_EVERYTHING_1
PUZZLE_53;PUZZLE_DLC_WINDCHAMPION_METEOR
PUZZLE_52;PUZZLE_DLC_RAKOANS_2
PUZZLE_35;PUZZLE_DLC_HIPPO
PUZZLE_47;PUZZLE_DLC_CORRUPT_MOVEMENT
PUZZLE_51;ACT_DLC_ELEMENTS_INDIRECT_DAMAGE
PUZZLE_29;PUZZLE_DLC_HUNT_ORPHANS
PUZZLE_34;PUZZLE_DLC_HUNTDOWN_BLIGHT_BLADE
PUZZLE_30;PUZZLE_DLC_AXOLOTL
PUZZLE_31;PUZZLE_DLC_RADIANCE_ILLUSION
PUZZLE_45;PUZZLE_DLC_KILL_DONT_DIE
ACT_JALMYR_04;ACT_DLC_ELEMENTS_COMBO_THROUGH_THE_AGES
PUZZLE_39;PUZZLE_DLC_ES_OF_MILL
PUZZLE_49;PUZZLE_DLC_HUNTDOWN_URSUS_OTK
PUZZLE_50;PUZZLE_DLC_EVENT_OTK
PUZZLE_37;PUZZLE_DLC_RUBY_YAK_OTK
PUZZLE_43;PUZZLE_DLC_NINJA_TOAD_OTK
PUZZLE_48;ACT_DLC_ELEMENTS_CHALLENGE
PUZZLE_44;PUZZLE_DLC_SWARMING_CARACIUS
PUZZLE_40;PUZZLE_DLC_SWARMING_CARACIUS_2
PUZZLE_32;PUZZLE_DLC_VOICE_OF_SALAMANDER
PUZZLE_33;PUZZLE_DLC_KROG_IS_KING
;PUZZLE_DLC_MEDALION_HARDCORE_MODE
