Key;Text;Level
DEATHTOUCH_ONLY_IF_DAMAGE;Tip: Deathtouch only kills a creature if damage is dealt. Protection stops damage.;4
TIKIS_CAN_TARGET_THEMSELVES;Tip: Tiki Caretaker and Tiki Piper can target themselves.;3
FROGS_PLACED_ON_LAKES;Tip: Frogs from Battle Toads can only be summoned on lakes.;4
HEAL_ORB_MAX_20;Tip: You cannot heal yourself over 20 life.;3
COMPLETE_SOLO_CONTENT;Tip: Completing Solo content is the best way to get started.;3
RED_COLOR_EXPLAINED;Tip: Red is the color of fire and war.;3
BLUE_COLOR_EXPLAINED;Tip: Blue is the color of transformation and trickery.;3
GREEN_COLOR_EXPLAINED;Tip: Green is the color of growth and wild predators.;3
YELLOW_COLOR_EXPLAINED;Tip: Yellow is the color of wind and speed.;3
CHARGE_CANT_PASS_THROUGH;Tip: You can't charge through other creatures.;4
BLOCK_AQUATIC_WITH_LANDS;Tip: Build lands to block aquatic enemies.;4
DAILY_QUEST_1;Tip: The most effective way to gain battle chests is to come back every day and complete your daily quest.;3
THE_HUB;Did you know: faeria.com/the-hub is our official site where players publish their own guides;4
CARDBACK_FROM_SOLO;Tip: Complete all of solo mode to unlock the Dragon cardback.;5
PANDORA_ECONMY;Tip: When Pandora awakens, all faeria wells are destroyed but players get double faeria each turn.;5
TAUNT_BEST_DEFENSE;Tip: Creatures with Taunt are often the best way to protect yourself.;4
BUILD_LANDS_EARLY_GAME;Tip: Build lands in the early game. Save the +1 card and +1 faeria buttons for later.;4
GIANT_LATEGAME_CREATURES_EXIST;Tip: Many decks build up powerful late-game threats. Save removal for them.;5
COUNTERING_RUSH_1;Tip: When playing against rush, move your creatures onto their aggressive lands.;5
STRUCTURES_LEGAL_PLACEMENT;Tip: Structures can be played on lands of any color.;5
STRUCTURES_DIRECTLY_ACTIVATES;Tip: Structures can be activated on the turn they were summoned.;5
GET_LANDS_NEAR_OPPONENT;Tip: Try to build lands adjacent to your enemy's god.;6
OVERDRAWING_DESTROYS_CARDS;Tip: You can only hold 9 cards at a time. Excess cards are destroyed when drawn.;6
COUNTERING_RUSH_2;Tip: Defeat rush players by blocking their aggressive lands. Counter-attack before they can break through.;6
YAK_LORE_1;<i>If you harm a yak, you harm the world</i>\n<align=right>Syland saying</align>;6
FRIENDS_BLOCK_RANGED;Tip: Ranged creatures can't shoot through friendly units.;7
LANDS_ARE_BETTER_THAN_CARDS;Tip: Creating lands is often more important than drawing cards.;7
ENDGAME_THREATS_EXIST;Tip: Many threats will punish you for stalling. Once have an advantage, attack!;7
FATIGUE_HURTS;Tip: Once your deck runs out of cards, you take increasing damage each draw.;7
JALMYR_LORE_2;Jalmyr's progressive puzzles often perplex the most proficient players.;7
STEAM_FORGE_LORE;Fed by faeria, imperial steam forges are unpredictable but effective.;7
JALMYR_LORE_3;Jalmyr could not bring himself to fully destroy his brother, the lord of darkness.;7
YELLOW_USES_HASTE;Tip: Yellow decks often use Haste creatures. Set up defenses ahead of time.;7
RED_DIRECT_DAMAGE;Tip: Red decks often use direct damage. Be careful when you're at low life.;7
FIRESTORM_EXISTS;Tip: Fire Storm is a red card that can deal 3 damage to all enemy creatures.;7
UNIQUE_EMOTES_EXIST;Tip: Many avatars have unique emotes.;7
BYPASSING_TAUNT;Tip: A taunted creature cannot move itself, but it can be moved by another effect. Even Dash.;8
DON'T_OVERBUFF_CREATURES;Tip: Be careful before boosting a creature beyond 6/6. Removal can punish you.;8
JOIN_FAERIA'S_DISCORD;Tip: Got a question or comment? Join the official Faeria Discord server. A link's in your friend's list.;6
ESPORTS_FAERIA_EXISTS;Tip: Go to esports.faeria.com for information on faeria tournaments and prizes.;8
TOP_8_GODS_ON_LADDER_INVITED;Tip: Each season, the top 10 players in god rank are invited to a special tournament;8
HARD_REMOVAL_COSTS_6;Tip: The best removal card costs about 6 faeria to play.;8
KILL_BURN_FAST;Tip: When playing against burn decks, end the game as fast as possible.;8
REVIEW_FAERIA_PLEASE;If you like faeria, don't forget to leave a review. It helps grow the community.;8
RAPALA_LORE_2;The most feared sight in a seaside village is not a tsunami, but a grinning fish.;8
TIPS_EXIST;Tip: Tips are sometimes shown during loading screens.;9
PROTECT_YOUR_ORB;Tip: Don't let your opponent get lands next to your god.;9
EMPEROR_LORE;The Emperor looks forward to the day when citizens are no longer necessary.;9
WISDOM_IS_BAD;Tip: Wise players rarely use the Wisdom card.;10
IONA_LORE_1;Before Iona the Shaytan had no word for 'mercy'.;10
OUTLAND_RANGER_LORE_1;The Outland Rangers are an ancient order of nobles that traded stone castles for open sky.;11
SYLAND_FARMERS_LORE;Without fail, each generation of syland farmers gives birth to a great hero.;11
IONA_LORE_2;It's the dream of every bard to compose a tribute worthy of Iona.;11
