Id;Reference;ItemDescriptor;Rarity;IsVisible;ItemType;IsConsumable;Gold;USD;EUR;GBP;RUB;Matrix;MarketName;MarketShortDescription;MarketDescription;SliderDescription;
1;BlueChest1;BLUE_CHEST|1;UNDEFINED;TRUE;NONE;TRUE;600;-1;-1;-1;-1;;1 Battle Chest;4 new cards!;Each Battle Chest contains 4 random cards you don't own all copies of.;;
2;BlueChest2;BLUE_CHEST|2;UNDEFINED;TRUE;BUNDLE;TRUE;120;-1;-1;-1;-1;;2 Battle Chests;8 new cards!;Each Battle Chest contains 4 random cards you don't own all copies of.;;
3;BlueChest5;BLUE_CHEST|5;UNDEFINED;TRUE;BUNDLE;TRUE;3000;-1;-1;-1;-1;;5 Battle Chests;20 new cards!;Each Battle Chest contains 4 random cards you don't own all copies of.;;
4;BlueChest12;BLUE_CHEST|12;UNDEFINED;;BUNDLE;TRUE;7200;999;999;999;74900;Tier 10;12 Battle Chests;48 new cards!;Each Battle Chest contains 4 random cards you don't own all copies of.;;
5;CoreSetFull;CORE_SET_FULL;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;The Complete Core Set;;The Ultimate Competitor Package: Propel your game to the highest level with a FULL playset of every card in the core set. This purchase unlocks everything you need to build any deck in the current game. In addition, you will be refunded 100 gold for each booster pack you've opened OR purchased so far.;;
6;BundleBlueChest24;CHEST_BUNDLE|BLUE|24;UNDEFINED;TRUE;BUNDLE;;-1;-1;-1;-1;-1;;Battle Starter Pack;120 new cards!;Contains 12 Battle Chests (60 cards) and 1 random Legendary card. Can only be purchased once.;;
8;AvatarTaesa;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;Gabrian Enchantresses wield the ancient magic of creation. Along with the Wavecrafters, they are the guardians of the spiritual balance within the Gabrian kingdom.\n\nThis item unlocks a new avatar for your orb.;;
9;AvatarKoboldMercenary;;RARE;TRUE;AVATAR;;7500;-1;-1;-1;-1;;;;Underground Bosses are the lords of the kobold underworld. In this place where the weak serve the strong, these fearsome warriors have climbed to the top over a pile of broken rivals.\n\nThis item unlocks a new avatar for your orb.;;
10;AvatarSeifer;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Seifer has burned his name into the ashes of broken kingdoms. Having conquered the devils and gained their power, Seifer enjoys nothing more than the sound of a screaming enemy.\n\nThis item unlocks a new avatar for your orb.;;
11;AvatarTarum;;LEGENDARY;TRUE;AVATAR;;40000;-1;-1;-1;-1;;;;Tarum was the first seed ever planted. He has seen the rise of mountains, the birth of dragons, and the fall of ancient gods.\n\nThis item unlocks a new avatar for your orb.;;
12;OrbArcane;;RARE;TRUE;ORB;;7500;-1;-1;-1;-1;;Orb of the Arcane;;Crafted from the stone of a faeria well. This orb is favored by gods seeking to unravel the secrets of the cosmos.\n\nThis item unlocks a new orb for your avatar.;;
13;OrbValor;;EPIC;TRUE;ORB;;18000;-1;-1;-1;-1;;Orb of Valor;;Crafted from the first stones that held the ancient giants. This orb is favored by elder gods that watched the birth of creation.\n\nThis item unlocks a new orb for your avatar.;;
14;OrbGiants;;RARE;TRUE;ORB;;7500;-1;-1;-1;-1;;Orb of the Giants;;Crafted from the first stones stepped upon by the ancient giants. This orb is favored by the eldest gods, veterans of a thousand wars long forgotten by any mortal.\n\nThis item unlocks a new orb for your avatar.;;
15;EarlyAccessBundle;EARLY_ACCESS_BUNDLE;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;Early Access Bundle;;20 Battle Chests, 10 Pandora Coins and Exclusive Avatar & Orb.;;
16;G2aBundle;G2A_BUNDLE;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;G2A Bundle;;20 Battle Chests, 10 Pandora Coins and Exclusive Avatar & Orb.;;
17;BackerStarterPackBundle;BACKER_STARTER_PACK_BUNDLE;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;Kickstarter Bundle;;30 Battle Chests, 10 Pandora Coins, 1 orb and 1 avatar.;;
19;OrbPack;;LEGENDARY;;ORB;;40000;-1;-1;-1;-1;;Exclusive Kickstarter Backers Orb;;Exclusive Kickstarter Backers Orb.;;
20;AvatarAurora;;EPIC;TRUE;AVATAR;;18000;-1;-1;-1;-1;;;;Aurora's hobbies include mentoring future heroes, guiding the course of history and tasting new kinds of tea.\n\nThis item unlocks a new avatar for your orb.;;
21;AvatarRaizeon;;EPIC;;AVATAR;;-1;-1;-1;-1;-1;Tier 2;;;Master of all elements, this entity tests those that would enter his domain.;;
27;Gold100;GOLD|1000;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;100 Gold;;Gold allows you to buy items in the shop.;;
28;Gold250;GOLD|2500;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;250 Gold;;Gold allows you to buy items in the shop.;;
29;Gold500;GOLD|5000;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;500 Gold;;Gold allows you to buy items in the shop.;;
30;Gold1000;GOLD|10000;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;1000 Gold;;Gold allows you to buy items in the shop.;;
31;Gold2500;GOLD|25000;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;2500 Gold;;Gold allows you to buy items in the shop.;;
32;Gold5000;GOLD|50000;UNDEFINED;;NONE;;-1;-1;-1;-1;-1;;5000 Gold;;Gold allows you to buy items in the shop.;;
33;OrbDragon;;LEGENDARY;TRUE;ORB;;40000;-1;-1;-1;-1;;;;The Dragon Orb is a monument to the time when Dragons saved the world from the chaos of ancient Giants. When the war was won, the four greatest Dragons forged this orb together.\n\nThis item unlocks a new orb for your avatar.;;
34;AvatarTheEgg;;EPIC;;AVATAR;;-1;-1;-1;-1;-1;Tier 6;;;Found in the dream of a Dragon, some believe the Egg is a sign of a brighter future. One day it will hatch.\n\nThis item unlocks a new avatar for your orb.;;
