ID;IsActive;Name;Type;Char. Name;Char. Level;Req. Level;Difficulty;IsCoOp;XP reward;Coin reward;Gem;Blue Chest reward;Pink Chest Reward;Cards reward;Acts reward;Avatar reward;Orb reward;Card Back reward;Feature reward;Gold card;Co-op ally AI;Lore page reward;Shore;Avatar;Card Back;Orb;Wells;World location;Image;;;;;;
0;TRUE;PROLOGUE_1;EpicForcedDeck;Sharra;1;;60;;50;;;;;1|24;;;;;;;;;ShoreSyland;AvatarSharra;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
1;TRUE;PROLOGUE_2;EpicForcedDeck;Balhar;2;;60;;50;;;;;51|51;;;;;;;;;ShoreSyland;AvatarKingsGuard;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
2;TRUE;PUZZLE_PROLOGUE_01;Puzzle;Jalmyr;1;;;;50;;;;;3|55;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;22;;;;;;
3;TRUE;PUZZLE_PROLOGUE_02;Puzzle;Jalmyr;2;;;;50;;;;;153|177;;;;;;;;;ShoreAmai;AvatarJalmyr;CardBackJalmyr;OrbJalmyr;WellJalmyr;;1;;;;;;
4;TRUE;PROLOGUE_3;EpicForcedDeck;Tarum;3;;60;;50;;;;;335|140;;;;;;;;;ShoreForest;AvatarTarum;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
5;TRUE;PROLOGUE_5;EpicForcedDeck;Raizeon;99;;60;;50;;;;;1|1|24|24|48|48|16|16|4|4|3|3|51|51|30|30|138|138|140|140|135|135|178|178|183|183|151|151|177|177;;;;;2;;;;ShoreVoid;AvatarRaizeon;CardBackBasic;OrbValor;WellBasic;;;;;;;;
6;TRUE;PROLOGUE_4;Intro;Ruunin;4;;60;;50;;;;;60;;;;;;;;;ShoreForest;AvatarRuunin;CardBackBasic;OrbBasic;WellBasic;;;;;;;;
7;TRUE;KROG_INTRO_01;Intro;Krog;4;;0;;50;;;;;;;;;;;;;;ShoreMenethyr;AvatarKrog;CardBackBasic;OrbGiants;WellBasic;;;;;;;;
8;TRUE;SEIFER_INTRO_01;Intro;Seifer;5;;60;;50;;;;;12|12|335|335|55|55|214|214|225|225|191|191|193|193|239|239|203|203|249|249;;;;;;;;;ShoreMenethyr;AvatarSeifer;CardBackBasic;OrbPower;WellBasic;;;;;;;;
9;TRUE;HOAKA_INTRO_01;Intro;Hoaka;5;;60;;50;;;;;;;;;;;;;;ShoreGabria;AvatarHoaka;CardBackBasic;OrbArcane;WellBasic;;;;;;;;
